text,source,expertise
Abstimmung von Grundrissgestaltungen mit den Fördergebern - die Realisierung der Neubauvor-haben erfolgt fast ausschließlich im sozialen Wohnungsbau,new_data_set,Wohnungsbau
Mithilfe bei der Wohnraumbeschaffung aufgrund der Residenzpflicht,new_data_set,Wohnungsbau
Leitung des Fachbereichs Bauaufsicht und Wohnungsaufsicht,de_v3,Wohnungsaufsicht
,de_v3,WLAN
,de_v3,Wissenstransfer
,de_v3,Wissensmanagement
"Recht, Wirtschaft, Wirtschaftsrecht",new_data_set,Wirtschaftsrecht
,de_v2,Wirtschaftspsychologie
Berufserfahrung im Konzernrechnungswesen oder in der Wirtschaftsprüfung,new_data_set,Wirtschaftsprüfung
Berufserfahrung im Bereich Innenrevision oder in der Wirtschaftsprüfung,new_data_set,Wirtschaftsprüfung
,de_v2,Wirtschaftsmathematik
,new_data_set,Wirtschaftsingenieurwesen
,de_v3,Wirtschaftlichkeitsbetrachtungen
,de_v3,Wirtschaftlichkeitsanalysen
,de_v3,Wirbelsäulenchirurgie
Projektentwicklung von Windenergie-Parks,new_data_set,Windenergie
Kaufmännische Verantwortung für Windenergie-Anlagenprojekte in der Realisierungsphase Management der Verträge,new_data_set,Windenergie
,new_data_set,Windbranche
,new_data_set,Wind
,de_v3,WIFSta
,de_v3,Wiederherstellungschirurgie
What if-Analysen,new_data_set,What if-Analyse
"Performance Trend-Analysen und Projektionen, What if-Analysen, Simulationen & Szenarien",new_data_set,What if-Analyse
"Beobachtung von Markt- und Branchentrends sowie Wettbewerbsanalysen, um frühzeitig auf Veränderungen zu reagieren",new_data_set,Wettbewerbsanalyse
"Segmentierung und Analyse relevanter Märkte, Wettbewerber und Zielgruppen",new_data_set,Wettbewerbsanalyse
Aktuelle Marktinformationen und Wettbewerbsanalysen für das Management bereitstellen.,new_data_set,Wettbewerbsanalyse
"Tracking der Markenperformance inklusive genauer Beobachtung von Marktdynamik, Trends und Wettbewerbsaktivitäten zur Anpassung der Markenstrategien",new_data_set,Wettbewerbsanalyse
"Durchführen von Fokusgruppen und Marktbeobachtungen, sowie Beurteilung des Wettbewerbs u.a. durch Produktvergleiche.",new_data_set,Wettbewerbsanalyse
"Durchführung von Markt-, Trend- und Wettbewerbsanalysen und Identifizierung neuer Marktpotenziale.",new_data_set,Wettbewerbsanalyse
Marktbeobachtung und Benchmarking von Wettbewerbsprodukten und -lösungen,new_data_set,Wettbewerbsanalyse
Markt- und Wettbewerbsbeobachtungen in Bezug auf neue Entwicklungen und Markttrends sowie Weitergabe von neuen Produktideen an die Entwicklung,new_data_set,Wettbewerbsanalyse
,de_v3,Wertpapiere (Depot-A)
"Sehr gutes technisches Verständnis und Expertise in der Stanz- und Werkzeugtechnologie (Stanz-, Tiefzieh- und Folgeverbundwerkzeuge)",new_data_set,Werkzeugtechnologie
,de_v2,Werkzeugtechnik
Vertriebsleiter eines Unternehmens idealerweise im Werkzeugbau oder Werkzeugmaschinenbau tätig.,new_data_set,Werkzeugbau
,new_data_set,Werkzeugbau
,de_v3,Werkstoffwissen
"Ingenieur im Bereich Mechanik, Werkstofftechnik aus und haben praktische Erfahrung in der Qualitätssicherung.",new_data_set,Werkstofftechnik
Ingenieurwissenschaften vorzugsweise mit Fachrichtung Maschinenbau- oder Werkstofftechnik bzw.,new_data_set,Werkstofftechnik
Bachelor oder Master Maschinenbau Schwerpunkt Umformtechnik von metallischen Werkstoffen o. eine vergleichbare Qualifikation/Ausbildung in der Metallverarbeitung mit Weiterbildung zum Techniker,new_data_set,Werkstofftechnik
"Sie haben ein abgeschlossenes Studium im Bereich Wirtschaftsingenieurwesen, Maschinenbau, Werkstofftechnik oder einem verwandten Fachgebiet.",new_data_set,Werkstofftechnik
,de_v3,Werkstattleitung
,de_v3,Werksleitung
,de_v3,Werkseinkauf
,de_v3,Werkscontrolling
Als Geschäftsführer übernehmen Sie die Verantwortung für das Werk,de_v2,Werkleitung
,de_v3,Weiterbildiung Spezielle Unfallchirurgie
,de_v3,Wehrtechnik
,de_v3,Webinar
,de_v3,Wasserwirtschaft
,de_v3,Wasserwerk
,de_v3,Wasserstoff
,de_v3,Wasserschadensanierung
,new_data_set,Wasserqualität
,de_v3,Wassergewinnung
,de_v3,Wasserbau
"Instandhaltung und Wartung aller Maschinen, Anlagen, Betriebsmittel und Fahrzeuge am gesamten Standort.",new_data_set,Wartung
"Koordinierung der Wartung und Instandhaltung der Gebäude, Außenanlagen, Maschinen und technischen (Sicherheits-)Anlagen",new_data_set,Wartung
"Überwachung von Anlagen (z.B. regelmäßige Prüfung der elektronischen Komponenten, Analyse von Störungen, Ergreifen von Sofortmaßnahmen und Störungsbehebung)",new_data_set,Wartung
,de_v3,Wärmepumpen B2C
,de_v3,Wärmepumpen
,de_v3,Wärmebehandlung
,de_v3,Warenpräsentation
Sie verantworten und steuern die weltweiten strategischen Beschaffungsaktivitäten für die verantworteten Warengruppen (Warengruppenmanagement),new_data_set,Warengruppenmanagement
Kontinuierliche Entwicklung neuer Kunden und Geschäftsfelder sowie europaweite Koordination der notwendigen Maßnahmen im Segment Chemikaliendistribution.,new_data_set,Warengruppenmanagement
,de_v2,Warehouse-Management-Systeme
,de_v3,WAN
"Gutes Produkt- bzw. Fachwissen in den Bereichen Wafer-Bearbeitung (Grinding, Dicing und Polishing)",new_data_set,Wafer-Bearbeitung
,de_v2,Wachstumsstrategie
,de_v3,VXLAN
,new_data_set,VSB 20
,de_v3,VP Finance / Controlling
,de_v3,Vorstellungsgespräche durchführen
,de_v3,Vorstandsservices
,de_v3,Vorstand
,new_data_set,Vorschriften
Vorrichtungsbau mit Fokus auf ganzheitliche Analgenkonzepte,new_data_set,Vorrichtungsbau
,de_v3,Vor- und Nachsorge
Umfassende Erfahrungen in der Entwicklung KI-basierter Software im Umfeld von Voicebots und Chatbots,new_data_set,Voicebots
Sie verfügen über fundierte Kenntnisse in den VOB/B,new_data_set,VOB/B
" Umfangreiche Kenntnisse/Erfahrungen im Baurecht, VOB, HOAI, Baumanagement, Vertragswesen, Ausschreibungen und Nachunternehmergeschäft",new_data_set,VOB
"Kenntnisse im Vertragsrecht (VOB, BGB) sind wünschenswert",new_data_set,VOB
"Aktuelle Kenntnisse in VgV, VOB, HOAI sowie der einschlägigen technischen und gesetzlichen Vorschriften und Normen",new_data_set,VOB
"Umfangreiche Kenntnisse/Erfahrungen im Baurecht, VOB, HOAI, Baumanagement, Vertragswesen, Ausschreibungen und Nachunternehmergeschäft",new_data_set,VOB
"VOB-Kenntnisse vorteilhaft, aber kein Muss",new_data_set,VOB
"Bereitstellung und Administration von Virtualisierungslösungen (VMware vSphere, Hyper-V, Virtuelbox, Docker)",new_data_set,VMware
,de_v3,V-Modell
Facharztanerkennung für Viszeralchirurgie mit Schwerpunkt spezielle Viszeralchirurgie,new_data_set,Viszeralchirurgie
,de_v2,Visual Studio
,de_v2,VISI CAD
,de_v3,Virtual reality
"Aktuelle Kenntnisse in VgV, VOB, HOAI sowie der einschlägigen technischen und gesetzlichen Vorschriften und Normen",de_v3,"VgV, VOB, HOAI"
,de_v3,"VgV, VOB, HOAI"
Abgeschlossenes Bachelor- oder Masterstudium der Wirtschaftswissenschaften oder Verwaltungswissenschaften oder Gesundheitsökonomie ,new_data_set,Verwaltungswissenschaften
,new_data_set,Verwaltungsrecht
"Verwaltungsmanagement: Sie übernehmen die Gesamtverantwortung für die Verwaltung, einschließlich Budgetierung, Ressourcenallokation und Berichtswesen.",new_data_set,Verwaltungsmanagement
verantworten Sie die gesamtschulische Entwicklung mit und übernehmen bereichsübergreifende Führungsaufgaben.,new_data_set,Verwaltungsmanagement
,de_v3,Verwaltungsleitung
Sie unterstützen die 4 Forstkreise beim Vollzug und der Umsetzung der kantonalen Waldgesetzgebung und nehmen bei Abwesenheiten ihre Stellvertretung wahr.,new_data_set,Verwaltungskenntnisse
,de_v3,Verwaltungsdienst
Erfahrung in der Verwaltung großer Budgets,de_v1,Verwaltung von großen Budgets
,de_v3,Vertriebsunterstützung
Durchführung von Marktrecherchen und Lieferantenbewertungen,new_data_set,Vertriebsstrategie
"bezeichnet eine langfristig angestrebte, planvolle Gestaltung der Vertriebsfunktion im Rahmen eines Marketingplans",new_data_set,Vertriebsstrategie
Beratung Ihrer LEH-Kunden bei der Weiterentwicklung ihres Frische-Angebots,new_data_set,Vertriebsstrategie
Mitwirkung bei der Erstellung und Umsetzung von Vertriebskonzepten,new_data_set,Vertriebsstrategie
Erstellung von B2B-Sales Forecasts und Pipelines,new_data_set,Vertriebsstrategie
Mitarbeit bei der Erstellung von Absatzplanungen,new_data_set,Vertriebsstrategie
Entwicklung und Ausbau von neuen Marktstrategien in Zusammenarbeit mit der Vertriebsleitung,new_data_set,Vertriebsstrategie
Entwicklung von Vertriebsstrategien und Key Account Plänen,new_data_set,Vertriebsstrategie
Erstellung und Umsetzung von neuen Konzepten zur Marktbearbeitung in Zusammenarbeit mit dem Team,new_data_set,Vertriebsstrategie
Sie kreieren individuelle Vertriebsstrategien für Bestands- und Neukunden,new_data_set,Vertriebsstrategie
Mitwirkung bei der Erstellung einer Vertriebsstrategie,new_data_set,Vertriebsstrategie
Entwicklung und Umsetzung von Vertriebsstrategien zur Förderung des,new_data_set,Vertriebsstrategie
Entwicklung einer Aftermarket-Strategie mit entsprechenden Maßnahmen - in enger Zusammenarbeit mit dem Vertrieb,new_data_set,Vertriebsstrategie
Umsetzung der Vertriebs- und Marketingstrategie,new_data_set,Vertriebsstrategie
Umsetzung der Verkaufsstrategie für Neuanlagen mit Umsatzverantwortung sowie Gebietsmanagement,new_data_set,Vertriebsstrategie
"Als engagierter Marktexperte behalten Sie den Überblick über relevante Entwicklungen und Wettbewerbsaktivitäten, um strategische Maßnahmen abzuleiten.",new_data_set,Vertriebsstrategie
Definition und Umsetzung von segmentspezifischen Vertriebskonzepten und den weiteren Ausbau von Vertriebsstrukturen,new_data_set,Vertriebsstrategie
Entwicklung und Umsetzung der Vertriebsstrategie,new_data_set,Vertriebsstrategie
Marktbeobachtung im Hinblick auf neue Entwicklungen und damit verbundenen Absatzmöglichkeiten,new_data_set,Vertriebsstrategie
Marktbeobachtung im Hinblick auf neue Entwicklungen und Absatzmöglichkeiten,new_data_set,Vertriebsstrategie
Weiterentwicklung der Vertriebsstrategie gemäß den Zielen des Unternehmens,new_data_set,Vertriebsstrategie
Aufbau eines Sales-Prozesses zur strategischen Auftrags- und Kapazitätsplanung,new_data_set,Vertriebsstrategie
Konzipieren und realisieren einer ganzheitliche Marketingstrategie,new_data_set,Vertriebsstrategie
Unterstützung des Vertriebs während der Vergabephase,new_data_set,Vertriebsstrategie
Sortimentsanalyse hinsichtlich Umsatzentwicklung und Profitabilität für den gesamten Bereich,new_data_set,Vertriebsstrategie
,de_v3,Vertriebssteuerung
,de_v2,Vertriebsrecht
,de_v2,Vertriebsprozesse
"Zudem koordinierst und planst Du Verkaufsstrategien, entwickelst Maßnahmen zur Neukundengewinnung und bist Ansprechpartner für bestehende Geschäftskunden",new_data_set,Vertriebsmanagement
Betreuung der Bestandskunden und Neukundenakquise im Vertriebsgebiet,new_data_set,Vertriebsmanagement
"Sie entwickeln gezielt die Bestandskunden weiter, um langfristige Partnerschaften zu festigen und die Marktposition zu sichern.",new_data_set,Vertriebsmanagement
"Sie bringen mehrjährige Erfahrung aus dem technischen Vertrieb mit, alternativ aus der Projektleitung / Konstruktion des Werkzeugmaschinenbaus mit Ihrem persönlichen Ziel, sich künftig im Vertrieb zu engagieren",new_data_set,Vertriebsmanagement
Erfahrung in Vertrieb und Projektmanagement,new_data_set,Vertriebsmanagement
Dann werden Sie zunächst die rechte Hand des Vorstandes für das Vorstands-Ressort Vertrieb/ Marketing & Logistik bei einem der besten Arbeitgeber in seiner Region.,new_data_set,Vertriebsmanagement
Schwerpunkt Vertriebsmanagement,new_data_set,Vertriebsmanagement
"Mehrjährige Vertriebsserfahrung im Bereich ""Kaltwasser / Rechenzentren""",new_data_set,Vertriebsmanagement
Ein kompetentes und erfolgreiches Team im Vertrieb und der Projektabwicklung,new_data_set,Vertriebsmanagement
Erfahrung im B2B Vertrieb,new_data_set,Vertriebsmanagement
"Mehrjährige, erfolgreiche Erfahrung als nationaler Key Account Manager aus dem Bereich Private Label",new_data_set,Vertriebsmanagement
"Mind. 10 Jahre Berufserfahrung im Vertrieb, vorzugsweise in einem mittelständischen Industrie-Unternehmen",new_data_set,Vertriebsmanagement
Sie führen die Erarbeitung und Durchführung von Kundenbindungsmaßnahmen und Kontaktpflege zu Wärmepumpen Kunden durch.,new_data_set,Vertriebsmanagement
"Nachweisbare Erfahrung im Business Development, Vertrieb oder Account",new_data_set,Vertriebsmanagement
"Mindestens vier Jahre Berufserfahrung im Marketing, idealerweise im Brand- oder Produktmanagement eines Konsumgüterunternehmens",new_data_set,Vertriebsmanagement
Sie koordinieren die Teilnahme an Ausschreibungen großer Kunden und pflegen den intensiven Kontakt,new_data_set,Vertriebsmanagement
"abgeschlossenes Studium, Schwerpunkt Vertrieb, Marketing/ Handel",new_data_set,Vertriebsmanagement
Berufserfahrung im Vertriebsaußendienst von technischen Produkten im B2B Bereich,new_data_set,Vertriebsmanagement
Sicherstellung des Verkaufsabschlusses gemäß den festgelegten Verkaufszielen und Ausbau zukünftiger Märkte durch die Initiierung und Förderung neuer Geschäftsentwicklungsinitiativen sowie die Etablierung einer starken und in den relevanten Märkten bekannten Marke,new_data_set,Vertriebsmanagement
Langjährige Erfahrung im Bereich Vertrieb und Key Account Management,new_data_set,Vertriebsmanagement
"Fundierte Führungserfahrung als Geschäftsführer oder im General-/Vertriebsmanagement, vorzugsweise mit P&L-Verantwortung",new_data_set,Vertriebsmanagement
Fundierte Führungs- und Vertriebserfahrung in einem internationalen Industrieunternehmen in Polen mit nachgewiesenem Erfolg,new_data_set,Vertriebsmanagement
"Führung und Entwicklung des MCS-Verkaufsteams, eines effektiven Teams aus fachlich qualifizierten, erstklassigen Verkaufsprofis auf der ganzen Welt, um unsere ehrgeizigen Ziele zu erreichen und Oerlikon Metco Coating Services als Marktführer im Bereich Beschichtungsdienstleistungen zu etablieren",new_data_set,Vertriebsmanagement
"Fundierte Führungserfahrung in General-/Vertriebsmanagementfunktionen, vorzugsweise mit P&L-Verantwortung",new_data_set,Vertriebsmanagement
Bewährter und dynamischer SOFTWARE-Vertriebsleiter mit nachweislicher Erfolgsbilanz beim Aufbau und Wachstum von Start-up- oder mittelgroßen B2B-Softwareunternehmen,new_data_set,Vertriebsleitung
Teamleitung des international tätigen Export Teams im Vertriebsinnendienst,new_data_set,Vertriebsinnendienst
"Kunde, Lieferzuverlässigkeit oder Vertriebscontrolling ",new_data_set,Vertriebscontrolling
Deshalb suchen wir Sie als aktiven Part aus dem Bereich Kostencontrolling / Vertriebscontrolling / Beteiligungscontrolling etc.,new_data_set,Vertriebscontrolling
,de_v3,Vertriebs- und Akquisitionsstrategien
,de_v3,Vertriebs- & Marketingcontrolling
,de_v3,Vertrieb von Managed Print Services Konzepten
Erfahrung im Vertrieb von erklärungsbedürftigen Produkten oder Lösungen,new_data_set,Vertrieb von Lösungen
Erfahrung im Projekt- und Lösungsvertrieb,new_data_set,Vertrieb von Lösungen
Freude am Verkauf von technisch erklärungsbedürftigen Produkten und Dienstleis-tungen,new_data_set,Vertrieb von Lösungen
"Hohe Vertriebskompetenz im Bereich komplexer, technisch anspruchsvoller und erklärungsbedürftiger Produkte und Lösungen",new_data_set,Vertrieb von Lösungen
Erfahrung im Vertrieb komplexer Lösungen,new_data_set,Vertrieb von Lösungen
Hohe Technik- & Vertriebsaffinität,new_data_set,Vertrieb von Lösungen
Sie sind verantwortlich für die Erfüllung der Absatz- und Umsatzziele und führen Preis- und Konditionsverhandlungen im Rahmen der Vorgaben,new_data_set,Vertrieb und Marketing
"Enge Zusammenarbeit mit den Bereichen Vertrieb, Marketing und Produktion bei der Entwicklung von Neuprodukten und der Optimierung vorhandener Produkte",new_data_set,Vertrieb und Marketing
"Erstellung von Absatzplänen und Forecasts, eigenverantwortliche Durchführung von Vertriebsprojekten",new_data_set,Vertrieb und Marketing
Erarbeitung von umsatzsteigernden Promotion- und Marketingaktivitäten,new_data_set,Vertrieb und Marketing
Die Gewinnung von Neukunden organisieren Sie eigenständig und können dabei auf ein gut gefülltes CRM-System und einem Markt mit viel Wachstumspotential zurückgreifen.,new_data_set,Vertrieb und Marketing
"Sie sind verantwortlich für den strategischen Ausbau des Geschäfts und nehmen aktiv an Messen und Ausschreibungen teil, um neue Kunden zu gewinnen und das Unternehmen weiter voranzubringen.",new_data_set,Vertrieb und Marketing
"Disziplinarische und fachliche Führung des Marketingteam, Weiterentwicklung der Teammitglieder und den weiteren Ausbau der Abteilung",new_data_set,Vertrieb und Marketing
"Monitoring von Lebensmittel- und Konsumententrends, Präsentation von Marktforschungsergebnissen bei Ihren Kunden",new_data_set,Vertrieb und Marketing
"Aufbau und Pflege von Geschäftsbeziehungen zu Kunden, Partnern, Lieferanten und anderen relevanten Interessengruppen",new_data_set,Vertrieb und Marketing
Aufbau/ Pflege des Vertriebsnetzwerks beim Kunden / Industriekunden,new_data_set,Vertrieb und Marketing
"Sie sind für die Betreuung und Weiterentwicklung der Bestandskunden verantwortlich, um langfristige und erfolgreiche Geschäftsbeziehungen aufzubauen und zu pflegen.",new_data_set,Vertrieb und Marketing
Innerhalb unseres Unternehmens sind Sie in Sortimentskreisen eingebunden und präsentieren in diesem Rahmen Neuheiten und erstellen verkaufsfähige Konzepte für den Point of Sale,new_data_set,Vertrieb und Marketing
Gesamtverantwortung für das Corporate Marketing inklusive der Budget-Planung und -Verfolgung.,new_data_set,Vertrieb und Marketing
Pflege und Ausbau des bestehenden Kundenstamms sowie Neukundenakquise im Bereich Medical,new_data_set,Vertrieb und Marketing
"Die Festigung der Kundenbeziehungen, sowie die Zusammenarbeit dem Projekt Management Team, sowie den weiteren Fachbereichen sind essenzielle Aufgaben ihrer Tätigkeit",new_data_set,Vertrieb und Marketing
"Der Schwerpunkt Ihrer Tätigkeit liegt auf der Pflege, dem Ausbau und der Weiterentwicklung des bestehenden Kunden- und Lieferantennetzwerks, insbesondere im Bereich OEM-Kunden.",new_data_set,Vertrieb und Marketing
Betreuung und Nachbetreuung des Bauherren und Unterstützung bei der Akquisition und der Ange-bots- und Verhandlungsstrategie,new_data_set,Vertrieb und Marketing
Leitung des Vertriebs- und Marketingteams,new_data_set,Vertrieb und Marketing
Neben dem Führen von Vergabe- und Bietergesprächen auch bei den Kunden vor Ort Ansprechpartner/in für den laufenden Fortschritt im Projekt sein,new_data_set,Vertrieb und Marketing
"Dazu analysieren Sie den Markt, erkennen aktuelle Trends, optimieren die Kundenbetreuung und stellen dabei den Kunden in den Mittelpunkt Ihrer Aktivitäten",new_data_set,Vertrieb und Marketing
Aktive Vermarktung der Dienstleistungen mit Durchführung von Marketing- und Vertriebsaktionen,new_data_set,Vertrieb und Marketing
"Strategische Weiterentwicklung der Marketingaktivitäten hinsichtlich Firmenstrategie, Image und Bekanntheitsgrad",new_data_set,Vertrieb und Marketing
"Aktive Auftragsakquise und intensives Management von Kunden (Direktkunden, Distributoren, Handel und Handelsagenten) durch persönliche Kontakte bei den Kunden vor Ort",new_data_set,Vertrieb und Marketing
"Durchführung von Marktanalysen, Wettbewerbsbeobachtung und Bewertung neuer Technologien",new_data_set,Vertrieb und Marketing
,de_v3,Vertrieb und Entwicklung
Sie erarbeiten und initiieren ergebnissichernde und verbessernde Maßnahmen im Vertrieb und setzen diese konsequent um,new_data_set,Vertrieb und Betrieb
Dies beinhaltet das Erreichen und Übertreffen definierter Geschäfts- und Verkaufsziele bei gleichzeitiger Aufrechterhaltung einer starken Kundenbasis,new_data_set,Vertrieb und Betrieb
die Analyse und Optimierung der Kennzahlen sowie kontinuierliche Steigerung des Umsatzes,new_data_set,Vertrieb und Betrieb
,de_v3,Vertrieb Innen- / Außendienst
,de_v2,Vertrieb Automotive
Bedarfsanalyse und maßgeschneiderte Angebotserstellung für unsere Kunden,new_data_set,Vertrieb
"kümmert sich umfassend um die spezifischen Belange und Interessen eines Kundensegments oder eines einzelnen, strategisch bedeutenden Kunden und vertritt ihn und seine Anforderungen im Unternehmen",new_data_set,Vertrieb
Durch gezielte Fragen und aktives Zuhören ermittelst du die tatsächlichen Anforderungen und Bedürfnisse der Kunden.,new_data_set,Vertrieb
Erarbeitung und Umsetzung von Konzepten und Angeboten in Verbindung mit einer kundenorientierten Wirtschaftlichkeit,new_data_set,Vertrieb
Erkennen und lösungsorientiertes Umsetzen der Bedürfnisse und Anforderungen der Schlüsselkunden,new_data_set,Vertrieb
,de_v3,Vertretung der Verwaltung
,new_data_set,Vertragsverhandlungen
Eigenständige Führung von Einkaufs- und Vertragsverhandlungen,new_data_set,Vertragsverhandlungen
Preisverhandlungen sowie Lieferantenbestellungen in Abstimmung mit dem Einkauf,new_data_set,Vertragsverhandlungen
Steuerung von Verhandlungen mit Einkauf und Lieferanten,new_data_set,Vertragsverhandlungen
Führen von Preis- und Vertragsverhandlungen,new_data_set,Vertragsverhandlungen
Sie sind verantwortlich für die Zusammenstellung des Angebotes und nehmen an technischen und kaufmännischen Vergabegesprächen beim Kunden teil.,new_data_set,Vertragsverhandlungen
"Ausarbeitung von Angeboten, Durchführung von Vergabeverhandlungen sowie anschließende Auftrags- bzw. Projektverfolgung",new_data_set,Vertragsverhandlungen
"Kenntnisse über relevante Richtlinien, Normen und Gesetze (beispielweise DB Vertragsrecht, VOB)",new_data_set,Vertragsrecht
Fundierte Kenntnisse im Vertragsrecht,new_data_set,Vertragsrecht
Fundierte Kenntnisse im Bereich Arbeits- und Vertragsrecht,new_data_set,Vertragsrecht
Allgemeine Kenntnisse Regelwerk der VOB Teil B und C,new_data_set,Vertragsrecht
"Gute Kenntnisse der einschlägigen Regelwerke (DIN, VDI) sowie im Vertragsrecht (VOB, BGB)",new_data_set,Vertragsrecht
"Gute Kenntnisse der Vorschriften, Verordnungen sowie Normen (DIN/VDI)",new_data_set,Vertragsrecht
"Gute Kenntnisse der Regelwerke (DIN, VDI) sowie im Vertragsrecht (VOB, BGB)",new_data_set,Vertragsrecht
"Kenntnisse im Vertragsmanagement, idealerweise BGB/VOB",new_data_set,Vertragsmanagement
Idealerweise Erfahrung in der Genehmigungsdokumentation,new_data_set,Vertragsmanagement
,de_v3,Verteidigungstechnik
,new_data_set,Verteidigung
,de_v3,Verstärkung
Versorgungstechnik oder staatlich geprüfter Elektrotechniker,new_data_set,Versorgungstechnik
,new_data_set,Versorgungstechnik
,de_v2,Versorgung/Transport
,de_v3,Versicherungsvertrags
,de_v2,Versand
,de_v3,Verrechnungspreise
"MBA mit Interesse an Maschinenbau, Verpackungstechnik",new_data_set,Verpackungstechnik
,de_v2,Verpackungsbranche
,new_data_set,Verpackung
,de_v3,Vermarktung
,de_v3,Verletzungsartenverfahren
,de_v3,Verkehrswesen
Bereich Verkehrstechnik,de_v3,Verkehrstechnik
,de_v3,Verkehrssicherung
,de_v3,Verkehrspsychologie
,de_v2,Verkehrsplanung
,de_v3,Verkehrsmedizinischen Untersuchungen
,new_data_set,Verkehrsmedizin
Technische Verkaufsberatung für kundenspezifische Präzisionsdrehteile,new_data_set,Verkaufsberatung
,de_v3,Verkaufs- und Marketingstrategien
,de_v3,Verkauf und Marketingkommunikationsstrategie
,de_v2,Verhandlungstechnik
Ausgeprägtes Verhandlungsgeschick und Durchsetzungsvermögen,new_data_set,Verhandlungsgeschick
Sicheres Auftreten und Verhandlungssicherheit,new_data_set,Verhandlungsgeschick
"Sie sind flexibel, gut organisiert, verhandlungsstark und abschlusssicher.",new_data_set,Verhandlungsgeschick
Ausgezeichnete Entscheidungs- und Führungskompetenz sowie Verhandlungsgeschick,new_data_set,Verhandlungsgeschick
Ausgezeichnete Kommunikationsfähigkeiten sowie Verhandlungsgeschick,new_data_set,Verhandlungsgeschick
"Ausgeprägtes Verhandlungsgeschick, Fähigkeit zur Entwicklung von Vertragsstrategien",new_data_set,Verhandlungsgeschick
Verhandlungs- und Präsentationstechniken,new_data_set,Verhandlungsgeschick
Ausgeprägtes Kommunikationsgeschick und Einfühlungsvermögen,new_data_set,Verhandlungsgeschick
Diplomatisches Geschick gepaart mit motivierender Durchsetzungsfähigkeit,new_data_set,Verhandlungsgeschick
"Verhandlungsgeschick, eigenverantwortliches, selbstständiges und teamorientiertes Arbeiten",new_data_set,Verhandlungsgeschick
Verhandlungsgeschick und Durchsetzungsfähigkeit,new_data_set,Verhandlungsgeschick
Überzeugende und begeisterungsfähige Vertriebspersönlichkeit,new_data_set,Verhandlungsgeschick
Teamplayer mit Verhandlungsgeschick,new_data_set,Verhandlungsgeschick
"Überzeugendes Auftreten, Verhandlungsgeschick + Überzeugungskraft",new_data_set,Verhandlungsgeschick
Ausgeprägte Kommunikationsstärke und Verhandlungsgeschick,new_data_set,Verhandlungsgeschick
Hohe Kommunikationsfähigkeit sowie ausgeprägtes Verhandlungsgeschick und Durchsetzungsstärke,new_data_set,Verhandlungsgeschick
"Flexibilität, Verhandlungsgeschick und Durchsetzungsvermögen",new_data_set,Verhandlungsgeschick
hervorragendes Kommunikations- und Verhandlungsgeschick,new_data_set,Verhandlungsgeschick
,de_v3,Verhandlung mit Kunden und Lieferanten
